player,scores
Forgetful Grudger,"[10232, 9744, 9330, 9297, 9446, 9581, 9808, 9525, 9484, 9831, 10070, 9836, 9822, 9774, 9398, 9427, 10119, 9655, 9789, 9473, 9341, 9698, 9876, 9425, 10033, 9438, 10035, 9512, 9468, 10007, 10056, 9848, 9954, 10174, 9654, 9555, 9506, 9796, 9709, 10063, 9358, 9404, 9461, 9677, 9397, 9773, 9449, 9822, 9793, 9670]"
Two Tits For Tat,"[10488, 10089, 10086, 10071, 10084, 10063, 10137, 10112, 10487, 10127, 10075, 10113, 10464, 10471, 10506, 10090, 10105, 10487, 10075, 10480, 10116, 10054, 10485, 10082, 10502, 10472, 10119, 10455, 10104, 10469, 10487, 10068, 10086, 10099, 10143, 10118, 10093, 10487, 10508, 10078, 10507, 10493, 10477, 10102, 10483, 10069, 10477, 10500, 10481, 10469]"
Forgiver,"[9686, 10307, 10265, 10425, 9829, 9981, 10520, 10438, 10224, 9747, 10203, 10258, 10111, 10901, 10180, 10272, 9925, 10259, 9819, 10640, 10380, 10183, 9772, 10292, 10273, 10174, 10223, 9812, 10373, 10479, 10215, 10054, 10018, 10068, 10047, 10192, 10542, 9800, 10225, 9761, 10056, 10220, 10151, 10238, 10016, 9788, 10073, 10879, 10221, 9757]"
Inverse,"[10446, 10736, 10454, 10316, 10415, 10459, 10312, 10712, 10348, 10029, 10690, 10330, 10007, 10024, 10430, 10733, 10603, 10342, 10090, 10482, 10715, 10876, 10309, 10396, 10321, 10022, 10488, 10333, 9951, 10038, 10532, 10399, 10715, 10065, 10311, 10724, 10333, 10336, 10315, 10739, 10037, 10309, 10342, 10607, 10888, 10727, 10318, 10068, 10662, 10005]"
Forgiving Tit For Tat,"[10543, 10484, 10934, 10497, 10867, 10534, 10919, 10508, 10497, 10538, 10519, 10908, 10920, 10897, 10512, 10539, 10537, 10503, 10517, 10922, 10919, 10516, 10531, 10506, 10557, 10534, 10898, 10924, 10882, 10533, 10496, 10918, 10909, 10943, 10900, 10900, 10532, 10535, 10470, 10519, 10526, 10928, 10515, 10926, 10536, 10947, 10935, 10924, 10499, 10487]"
Go By Majority/5,"[10494, 10889, 10934, 10908, 10486, 10936, 10491, 10892, 10533, 10898, 10903, 10930, 10934, 10504, 10506, 10524, 10894, 10898, 10914, 10912, 10480, 10539, 10437, 10546, 10554, 10908, 10486, 10528, 10529, 10531, 10519, 10904, 10934, 10862, 10907, 10481, 10882, 10516, 10512, 10528, 10513, 10493, 10486, 10521, 10514, 10908, 10525, 10537, 10905, 10902]"
Appeaser,"[10756, 10720, 10055, 10743, 10704, 10692, 10869, 10251, 10670, 10615, 10638, 10436, 10268, 10198, 10256, 10554, 10867, 10242, 10759, 10248, 10166, 10231, 10455, 10783, 10159, 10215, 10889, 10701, 10329, 10265, 10262, 10249, 10689, 10562, 10169, 10805, 10909, 10291, 10334, 10807, 10936, 10766, 10786, 10687, 10311, 10795, 10163, 10755, 10995, 10257]"
Go By Majority/40,"[11132, 10754, 11158, 11170, 10731, 11041, 10698, 11128, 10759, 10783, 11076, 10750, 10657, 11151, 10804, 10696, 10739, 11173, 10604, 11119, 10697, 10726, 10682, 11059, 10731, 10753, 11172, 11055, 11179, 11071, 10734, 11080, 11183, 10682, 10617, 10705, 10775, 10672, 10643, 10729, 10730, 11170, 10726, 10739, 10728, 11086, 11143, 10734, 10777, 11116]"
Grudger,"[10943, 11059, 10971, 10997, 10929, 10594, 10526, 10598, 10963, 10642, 10538, 11043, 11027, 10899, 11023, 10598, 10544, 10961, 10558, 11081, 11045, 10470, 10610, 10524, 11021, 10590, 10574, 10634, 10995, 10983, 10857, 10969, 10664, 10506, 11071, 10971, 10478, 10582, 10971, 10907, 10438, 10402, 10444, 10500, 10969, 10909, 10574, 10488, 11017, 10546]"
Grumpy,"[10774, 10710, 10684, 10784, 10870, 10828, 10647, 10612, 10828, 10837, 10713, 10676, 10821, 10813, 10628, 10903, 10849, 10885, 10849, 10891, 10706, 10849, 10770, 10852, 10861, 10879, 10870, 10747, 10703, 10611, 10621, 10649, 10610, 10873, 10816, 10616, 10882, 10846, 10858, 10858, 10576, 10879, 10873, 10870, 10876, 10846, 10627, 10662, 10846, 10882]"
Tit For Tat,"[10833, 10836, 10853, 10466, 10453, 10831, 10464, 10839, 10418, 10863, 10845, 10847, 10417, 10833, 10442, 10829, 10450, 10849, 10444, 10858, 10870, 10842, 10865, 10808, 10824, 10457, 10432, 10851, 10436, 10823, 10461, 10862, 10842, 10864, 10455, 10857, 10814, 10859, 10461, 10843, 10451, 10844, 10448, 10847, 10826, 10845, 10835, 10436, 10854, 10449]"
Tit For 2 Tats,"[10873, 10870, 10903, 10896, 10877, 10875, 10918, 10905, 10914, 10896, 10886, 10876, 10900, 10883, 10884, 10856, 10876, 10903, 10839, 10932, 10911, 10852, 10907, 10894, 10910, 10889, 10924, 10893, 10889, 10899, 10906, 10881, 10881, 10858, 10901, 10903, 10866, 10839, 10863, 10927, 10888, 10906, 10860, 10898, 10845, 10823, 10890, 10903, 10889, 10901]"
